source_system,code,label,poi_type,confidence
atc,shelters,A.T. Shelters,shelter,high
atc,campsites,A.T. Campsites,campsite,high
atc,viewpoints,A.T. Viewpoints,viewpoint,high
atc,parking,A.T. Parking,parking,high
atc,privies,A.T. Privies,privy,high
atc,communities,A.T. Communities (official designation - a resupply proxy),resupply,low
atc,bridges,A.T. Bridges (POI-shaped and deliberately unmapped - #99 records the product call as open),,
opentrail,c,campsite,,
opentrail,s,shelter (some overlap with 'c' observed in the data),water,low
opentrail,o,other / overlook / miscellaneous,,
opentrail,j,junction or road crossing,,
opentrail,w,water source,water,high
opentrail,t,town,,
opentrail,r,NOT resupply - road or gap by the look of the names (#806),,
opentrail,a,unknown (single occurrence),,
dec,dec_lean_tos,NYS DEC Lean-tos (statewide),shelter,high
dec,dec_primitive_campsites,NYS DEC Primitive Campsites (statewide),campsite,high
dec,dec_scenic_vistas,NYS DEC Scenic Vistas (statewide),viewpoint,high
dec,dec_firetowers,NYS DEC Firetowers (statewide),viewpoint,high
dec,dec_viewing_areas,NYS DEC Viewing Areas (statewide),viewpoint,high
dec,dec_parking_areas,NYS DEC Parking (statewide),parking,high
